job_title,average_salary
Data Visualization Designer,73742.5
Data Visualization Developer,120125.31818181818
Data Visualization Engineer,148889.70422535212
Data Visualization Expert,126000.0
Data Visualization Lead,99525.0
Data Visualization Specialist,107242.4909090909
Data and Analytics Consultant,126633.33333333333
Data and Reporting Analyst,92741.0
Data and Reporting Professional,77542.85714285714
DataOps Engineer,144820.52173913043
Database Administrator,361581.9411764706
Databricks Engineer,146594.33333333334
Decision Scientist,152035.2196969697
Deep Learning Engineer,178992.0
Deep Learning Researcher,115000.0
DevOps Engineer,140801.32513661202
DevOps Lead,197500.0
Developer,220134.19659442725
Developer Advocate,161637.5
Director,268310.7044198895
Director of Business Intelligence,187500.0
Director of Data,270000.0
Director of Engineering,106000.0
Director of Machine Learning,263133.3333333333
Director of Product Management,261555.25
ETL Developer,122166.71794871795
ETL Engineer,101771.42857142857
Economist,185867.25
Elasticsearch Administrator,98700.0
Encounter Data Management Professional,74421.42857142857
Engineer,181323.98243474017
Engineering Manager,249811.61585365853
Enterprise Account Executive,231541.66666666666
Executive,195150.54098360657
Experienced Quantitative Strategist,175000.0
Finance Data Analyst,42500.0
Financial Data Analyst,90375.0
Forward Deployed Engineer,225000.0
Fraud Data Analyst,75000.0
Frontend Engineer,191750.0
Full Stack Developer,129992.61739130435
Full Stack Engineer,157346.57714285713
Fullstack Engineer,169538.5625
GenAI Architect,226675.0
Head of AI,246110.18867924527
Head of Applied AI,278500.0
Head of Business Intelligence,104000.0
Head of Data,215262.94491525425
Head of Machine Learning,731769.2307692308
Head of Marketing,210000.0
IT Enterprise Data Architect,250000.0
Infrastructure Engineer,193675.0
Insight Analyst,86171.54128440368
Integration Specialist,160000.0
Java Developer,122407.69230769231
LLM Engineer,80000.0
Lead AI Engineer,940000.0
Lead Analyst,160846.37931034484
Lead Data Analysis,147833.33333333334
Lead Data Analyst,1095833.3333333333
Lead Data Engineer,132714.2857142857
Lead Data Management,104500.0
Lead Data Scientist,771578.9090909091
Lead Engineer,180229.2375
Lead Machine Learning Engineer,1566200.0
ML Infrastructure Engineer,219821.875
ML Scientist,182323.22222222222
MLOps Engineer,159575.0
Machine Learning Architect,222462.3076923077
Machine Learning Developer,122155.475
Machine Learning Engineer,204424.91559026734
Machine Learning Infrastructure Engineer,171153.17073170733
Machine Learning Lead,162859.4
Machine Learning Manager,212536.92307692306
Machine Learning Model Engineer,230000.0
Machine Learning Modeler,182112.5
Machine Learning Performance Engineer,262500.0
Machine Learning Platform Engineer,211422.85714285713
Machine Learning Quality Engineer,161500.0
Machine Learning Research Engineer,67600.0
Machine Learning Researcher,186432.1359223301
Machine Learning Scientist,178281.31212121213
Machine Learning Software Engineer,359653.3333333333
Machine Learning Specialist,126899.61904761905
Machine Learning Tech Lead,183450.0
Machine Vision Engineer,80000.0
Manager,172530.4024640657
Manager Data Management,125000.0
Marketing Analyst,100000.0
Marketing Analytics Manager,102500.0
Marketing Data Analyst,137500.0
Marketing Data Engineer,90000.0
Marketing Data Scientist,90000.0
Marketing Science Partner,148750.0
Master Data Management,125769.85
Master Data Specialist,83000.0
Member of Technical Staff,192610.44776119402
NLP Engineer,294388.8888888889
Network Engineer,200000.0
People Data Analyst,45000.0
Platform Data Engineer,36000.0
Platform Engineer,172969.24415584415
Post Doctoral Fellow,115000.0
Postdoctoral Fellow,84818.88679245283
Postdoctoral Research Fellow,89768.75
Postdoctoral Researcher,105023.88571428572
Power BI,97611.51515151515
Power BI Administrator,129775.0
Power BI Architect,110000.0
Power BI Consultant,106000.0
Power BI Developer,98863.5
Power BI Expert,86677.3
Power BI Specialist,99698.57142857143
Pricing Analyst,69160.41666666667
Principal Application Delivery Consultant,182500.0
Principal Data Analyst,122500.0
Principal Data Architect,3000000.0
Principal Data Engineer,156666.66666666666
Principal Data Scientist,162888.88888888888
Principal Engineer,175610.0
Principal Machine Learning Engineer,181666.66666666666
Principal Researcher,231306.25
Principal Scientist,192226.9090909091
Principal Software Architect,219850.0
Principal Statistical Programmer,173114.0
Product Analyst,165295.37634408602
Product Data Analyst,333400.0
Product Designer,181136.29133858267
Product Manager,187598.34775641025
Product Owner,141762.94845360826
Product Specialist,148140.9090909091
Prompt Engineer,155848.8076923077
Psychometrician,120000.0
Python Developer,306592.5802469136
QA Engineer,147694.1891891892
QA Tutor Reviewer,24000.0
Quant Options Trader,200000.0
Quant Trader,60000.0
Quantitative Analyst,139067.97037037037
Quantitative Developer,193144.0
Quantitative Research Analyst,51000.0
Quantitative Researcher,178864.46666666667
Quantitative Risk Analyst,18000.0
Quantitative Trader,191666.66666666666
RPA Developer,113000.0
Research Analyst,113377.17419354839
Research Assistant,53241.882352941175
Research Associate,78492.93125
Research Data Manager,60000.0
Research Engineer,205679.74364896075
Research Professional,99824.16666666667
Research Scientist,194384.84283513098
Research Specialist,64100.0
Research Team Lead,450000.0
Researcher,169156.83
Risk Analyst,130465.09090909091
Robotics Engineer,145535.8125
Robotics Software Engineer,198750.0
SAS Developer,149409.0
Safety Data Management Specialist,95000.0
Sales Development Representative,78955.71428571429
Sales Engineer,155976.63636363635
Salesforce Administrator,170000.0
Scala Spark Developer,52920.0
Security Engineer,188104.11111111112
Security Researcher,178934.61538461538
Site Reliability Engineer,186785.54952076677
Software Architect,201309.54901960783
Software Data Engineer,155000.0
Software Developer,132754.35728952772
Software Development Director,207150.0
Software Development Engineer,172688.98727735368
Software Engineer,182904.74059662776
Solution Architect,171169.90047393364
Solution Engineer,165435.7142857143
Solution Specialist,133800.0
Solutions Architect,182076.895
Solutions Engineer,186377.5873015873
Staff Data Analyst,97499.0
Staff Data Scientist,147000.0
Staff Engineer,181653.0
Staff Machine Learning Engineer,185000.0
Stage,38104.0
Statistical Programmer,128381.85106382979
Statistician,118782.16666666667
System Administrator,154750.0
System Engineer,152199.55737704918
Systems Administrator,138461.1875
Systems Engineer,170595.2068965517
Tableau Developer,120783.75
Tech Lead,205925.64102564103
Tech Lead Data,64675.0
Technical Architect,184491.70967741936
Technical Lead,187684.125748503
Technical Recruiter,129872.77777777778
Technical Specialist,134000.0
Technical Support Engineer,131270.0
Technical Support Specialist,76428.57142857143
Technical Writer,151651.66666666666
Technology Integrator,98650.0
Trainee,60050.857142857145
Web Developer,179052.77777777778
